               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021612,           0.0045266,          0.00092588,             0.99961,                   1,               0.995,             0.76597,             0.01484,            0.002899,          0.00065282,            0.008845,            0.008845,            0.008845
                  37,            0.021799,            0.004541,          0.00092455,             0.99968,                   1,               0.995,             0.78923,            0.013527,           0.0029152,          0.00069159,            0.008812,            0.008812,            0.008812
                  38,            0.022296,            0.004533,           0.0010251,             0.99956,                   1,               0.995,             0.77882,            0.015766,            0.002925,          0.00068538,            0.008779,            0.008779,            0.008779
                  39,            0.021848,           0.0045315,           0.0008792,             0.99963,                   1,               0.995,             0.84299,            0.011791,           0.0027605,          0.00064621,            0.008746,            0.008746,            0.008746
                  40,             0.01982,           0.0044267,           0.0008575,             0.99969,                   1,               0.995,              0.7832,            0.015196,           0.0028351,          0.00070099,            0.008713,            0.008713,            0.008713
                  41,            0.020279,           0.0042633,          0.00086644,             0.99967,                   1,               0.995,             0.83301,            0.012149,           0.0027596,          0.00063388,             0.00868,             0.00868,             0.00868
                  42,            0.020365,            0.004279,          0.00092502,              0.9996,                   1,               0.995,             0.85857,            0.011099,           0.0027001,          0.00063256,            0.008647,            0.008647,            0.008647
                  43,            0.020011,           0.0042598,           0.0008375,             0.99928,                   1,               0.995,             0.85636,            0.013062,           0.0027627,          0.00054524,            0.008614,            0.008614,            0.008614
                  44,            0.020589,           0.0041932,          0.00077374,             0.99967,                   1,               0.995,             0.84035,            0.012395,           0.0027452,          0.00060732,            0.008581,            0.008581,            0.008581
                  45,            0.019901,           0.0041529,          0.00089963,             0.99964,                   1,               0.995,              0.8556,            0.011899,           0.0027006,          0.00062821,            0.008548,            0.008548,            0.008548
                  46,            0.020029,           0.0044103,          0.00085006,             0.99963,                   1,               0.995,             0.81035,            0.012605,           0.0026592,          0.00059021,            0.008515,            0.008515,            0.008515
                  47,            0.019867,           0.0040219,          0.00079888,             0.99967,                   1,               0.995,             0.84714,            0.013257,            0.002681,          0.00053813,            0.008482,            0.008482,            0.008482
                  48,            0.018797,           0.0042801,          0.00081102,             0.99969,                   1,               0.995,             0.82059,            0.012574,           0.0026872,          0.00056007,            0.008449,            0.008449,            0.008449
                  49,            0.019837,           0.0042232,          0.00075801,             0.99966,                   1,               0.995,             0.84287,             0.01136,           0.0025861,          0.00054733,            0.008416,            0.008416,            0.008416
                  50,            0.019936,           0.0039678,          0.00073357,             0.99968,                   1,               0.995,             0.84967,            0.011534,           0.0026338,          0.00059687,            0.008383,            0.008383,            0.008383
                  51,            0.018426,           0.0041276,           0.0008424,             0.99955,                   1,               0.995,             0.86571,            0.010429,           0.0025651,          0.00055732,             0.00835,             0.00835,             0.00835
                  52,            0.019303,           0.0041799,          0.00071048,             0.99965,                   1,               0.995,             0.83679,            0.012318,           0.0026262,          0.00052154,            0.008317,            0.008317,            0.008317
