               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029447,            0.012871,           0.0010502,             0.97738,             0.98716,             0.98347,             0.68412,            0.019205,           0.0083879,          0.00080848,            0.008845,            0.008845,            0.008845
                  37,            0.029336,            0.012426,           0.0010983,              0.9814,             0.99074,             0.99035,             0.67709,            0.020155,           0.0081416,          0.00090431,            0.008812,            0.008812,            0.008812
                  38,            0.029182,            0.012817,           0.0010725,              0.9746,             0.98978,             0.98579,             0.67882,            0.021523,           0.0083449,          0.00075522,            0.008779,            0.008779,            0.008779
                  39,            0.028561,            0.012825,          0.00098118,             0.98418,             0.99349,             0.98999,             0.68391,            0.020449,           0.0081931,          0.00096022,            0.008746,            0.008746,            0.008746
                  40,            0.029113,            0.013109,           0.0010226,             0.98096,              0.9929,             0.98884,              0.6991,            0.019002,            0.008084,           0.0007931,            0.008713,            0.008713,            0.008713
                  41,            0.028812,            0.013163,          0.00097105,             0.98195,             0.99012,             0.98933,             0.68092,            0.019891,            0.008242,          0.00080917,             0.00868,             0.00868,             0.00868
                  42,            0.028548,            0.012529,           0.0010659,             0.98175,             0.99192,             0.98899,             0.68474,            0.019341,           0.0080112,          0.00073483,            0.008647,            0.008647,            0.008647
                  43,            0.027944,            0.012059,          0.00091991,             0.98006,             0.98701,             0.98812,             0.68908,            0.018723,           0.0080868,          0.00079704,            0.008614,            0.008614,            0.008614
                  44,            0.028211,            0.012597,           0.0010309,             0.98076,             0.99166,             0.98979,             0.67917,             0.01949,           0.0080684,          0.00073876,            0.008581,            0.008581,            0.008581
                  45,            0.027898,            0.012923,          0.00093826,             0.98008,             0.99016,             0.98947,             0.70318,            0.018037,           0.0080468,          0.00072405,            0.008548,            0.008548,            0.008548
                  46,            0.027757,            0.013296,          0.00088854,             0.98234,             0.99096,             0.98903,             0.71052,            0.017665,           0.0079223,          0.00070965,            0.008515,            0.008515,            0.008515
                  47,            0.027037,            0.012629,          0.00086214,             0.98106,             0.99468,             0.98934,              0.6983,            0.018091,            0.007939,          0.00063403,            0.008482,            0.008482,            0.008482
                  48,            0.027813,            0.012235,          0.00082814,             0.97733,             0.99338,             0.99015,             0.69713,            0.018218,           0.0079788,          0.00074586,            0.008449,            0.008449,            0.008449
